,x,y,z,role
103,-25.356903,19.810331,8.800102,Business Strategy-Intern
104,-25.61905,18.09703,6.2253356,Business Strategy-Intern
105,-25.61905,18.09703,6.2253356,Business Strategy-Intern
106,-28.385399,19.71479,5.2178454,Business Strategy-Intern
107,-23.16672,17.09151,16.383453,Business Strategy-Intern
108,-5.0354285,12.4592495,32.09043,Business Strategy-Intern
109,-23.02242,22.722702,5.1072063,Business Strategy-Intern
110,-24.608725,14.735283,4.6276135,Business Strategy-Intern
111,-23.735312,13.916401,8.079093,Business Strategy-Intern
112,-26.854284,14.929627,6.9168525,Business Strategy-Intern
113,15.419924,-22.303986,-9.150595,Business Strategy-Intern
114,-18.677813,12.739449,0.14649366,Business Strategy-Intern
115,-24.749739,16.702293,8.827385,Business Strategy-Intern
116,-27.22187,16.84388,3.695983,Business Strategy-Intern
117,-23.694988,17.631966,3.096926,Business Strategy-Intern
118,-21.49158,15.841859,9.746521,Business Strategy-Intern
119,-25.176607,20.415302,3.6225507,Business Strategy-Intern
120,-23.789711,17.363462,11.56556,Business Strategy-Intern
121,-23.103703,22.328754,8.674627,Business Strategy-Intern
122,-26.074045,22.00445,6.38584,Business Strategy-Intern
123,-26.23599,22.63296,9.691898,Business Strategy-Intern
124,-5.3710456,13.520323,30.474678,Business Strategy-Intern
125,-5.3710456,13.520323,30.474678,Business Strategy-Intern
126,-20.847258,19.903965,10.73315,Business Strategy-Intern
127,-24.081347,20.654074,11.556405,Business Strategy-Intern
128,8.484806,-19.214811,7.6703296,Data Center & Network
129,13.29706,-1.3203338,-5.858953,Data Center & Network
130,-7.0077157,-1.6520119,18.608152,Developer Relations
131,-8.876689,-12.256363,9.9513035,Developer Relations
132,0.39254978,6.5072117,27.191013,Developer Relations
133,0.39254978,6.5072117,27.191013,Developer Relations
134,-0.6644563,5.402381,27.911795,Developer Relations
135,4.3907385,-22.071959,-20.716143,Finance
136,1.83279,-8.082629,-15.0123005,Finance
137,-1.0694121,5.1653695,-6.5206985,Finance
138,-18.895094,-4.901876,4.846123,Finance
139,30.688,1.6264191,-14.278112,Finance
140,8.83453,-9.048965,-17.553406,Finance
141,25.89259,7.6590223,-5.5384254,Finance
142,12.836636,-12.14468,-16.333788,Finance
143,5.0287256,-19.027508,-10.978661,Finance
144,10.499514,-0.37642497,-26.868027,Finance
145,4.0405855,3.124387,-22.417416,Finance
146,5.0521464,-11.026751,-18.47881,Finance
147,25.024523,-11.820502,1.5871736,Finance
148,29.267122,-1.1328715,-15.671015,Finance
149,3.1835284,-9.552907,-32.14177,Finance
150,13.136603,-13.731941,-16.47827,Finance
151,21.773582,-3.0409067,-14.568543,Finance
152,5.6616716,-10.094811,-19.583057,Finance
153,8.535646,-9.291542,-23.394077,Finance
154,16.460808,-6.7403684,-23.497562,Finance
155,21.53631,-1.6353875,-19.422308,Finance
156,0.21026394,-13.01679,-12.729482,Finance
157,12.653798,-7.7964034,-24.735744,Finance
158,21.76437,-3.091367,-19.718664,Finance
159,2.969737,-7.722559,-14.785125,Finance
160,11.292389,-8.48735,-26.005428,Finance
161,7.428618,-6.5403743,-2.9957495,Finance
162,17.087555,-2.8385656,-21.090662,Finance
163,7.7535243,-10.702183,-23.95484,Finance
164,30.177301,2.416255,-15.227933,Finance
165,29.563099,0.893468,-16.325434,Finance
166,3.1606324,2.6020284,-21.607199,Finance
167,5.8260846,-3.420219,-21.166681,Finance
168,18.759895,-3.627943,-20.976461,Finance
169,25.619965,3.695101,-5.8136277,Finance
170,20.932999,-4.937033,-14.707164,Finance
171,-0.55981225,3.6057003,-9.695846,Finance
172,2.9010422,-11.64821,-18.164513,Finance
173,4.1439915,-21.810354,-21.8809,Finance
174,17.777325,-7.5984883,-26.074894,Finance
175,4.8466053,-3.5088375,-20.458937,Finance
176,3.9438846,-5.180895,-23.03222,Finance
177,7.214455,-9.259366,-24.463448,Finance
178,22.58822,-3.6395152,-25.450516,Finance
179,-11.735504,-12.28865,-3.485558,Finance
180,23.85436,-4.159023,-15.276759,Finance
181,12.530148,-1.4764565,-25.8894,Finance
182,9.684024,-5.4968066,-4.2114773,Finance
183,4.3728466,-18.789478,-20.844624,Finance
184,1.0188264,-6.799626,-27.681501,Finance
185,1.2128109,-6.3803115,-26.252897,Finance
186,6.931184,-10.209359,-18.529568,Finance
187,23.830032,-3.5818086,-25.703743,Finance
188,16.679657,-9.168771,-1.5643898,Finance
189,23.18464,-4.7206726,-20.040915,Finance
190,-19.424118,-5.980772,5.542419,Finance
191,13.727394,-3.4107196,-24.378492,Finance
192,24.953222,1.7650311,-4.8816805,Finance
193,11.270072,-5.7848635,-6.5704107,Finance
194,13.93209,-8.476925,-21.758436,Finance
195,2.660587,2.1535726,-9.432436,Finance
196,26.086391,9.195397,-3.496214,Finance
197,19.829062,-6.197617,-13.7581,Finance
198,17.059752,-6.582402,-26.590342,Finance
199,26.812536,8.868384,-2.4804344,Finance
200,28.36699,-12.030244,3.755936,Finance
201,16.436459,-4.4313793,-20.388285,Finance
202,14.455098,-7.4409213,-23.763474,Finance
203,5.3194966,5.487794,-13.087971,Finance
204,11.49253,-7.349288,-23.449432,Finance
205,2.9327765,-20.38754,-13.077229,Finance
206,11.417639,-1.2322158,-25.405207,Finance
207,22.980858,-13.756839,-7.329341,Finance
208,0.091966115,2.4893618,-9.2869215,Finance
209,18.810305,-4.9311266,-22.201353,Finance
210,-10.899729,34.52245,-7.038051,Finance-Intern
211,-17.3179,19.975643,-6.6481075,Finance-Intern
212,-9.537521,35.88769,-9.140225,Finance-Intern
213,-19.242819,20.489159,-8.27649,Finance-Intern
214,-14.562055,36.973003,-6.4501305,Finance-Intern
215,-12.213419,19.723644,-13.678972,Finance-Intern
216,-14.315507,32.9049,-10.4807625,Finance-Intern
217,-10.496503,33.43854,-4.4243994,Finance-Intern
218,-16.0264,34.42562,-8.111997,Finance-Intern
219,-19.242819,20.489159,-8.27649,Finance-Intern
220,-15.0597725,15.234036,3.1708035,Finance-Intern
221,-11.856187,32.06402,-8.625436,Finance-Intern
222,-13.001825,35.5409,-9.061305,Finance-Intern
223,-10.7806015,33.8035,-10.924566,Finance-Intern
224,-13.289756,21.183355,-12.150542,Finance-Intern
225,-15.0597725,15.234036,3.1708035,Finance-Intern
226,-13.659094,21.80008,-14.830862,Finance-Intern
227,-19.242819,20.489159,-8.27649,Finance-Intern
228,-12.029165,36.304306,-4.5680175,Finance-Intern
229,-13.646424,33.770164,-5.8475366,Finance-Intern
230,-11.856187,32.06402,-8.625436,Finance-Intern
231,-19.242819,20.489159,-8.27649,Finance-Intern
232,-13.289756,21.183355,-12.150542,Finance-Intern
233,-18.479443,18.061794,-7.9022856,Finance-Intern
234,-13.646424,33.770164,-5.8475366,Finance-Intern
235,-13.646424,33.770164,-5.8475366,Finance-Intern
236,-11.686181,31.01038,-5.7444487,Finance-Intern
237,-8.92394,32.760258,-7.619964,Finance-Intern
238,-14.817393,31.347746,-7.6855803,Finance-Intern
239,-13.001825,35.5409,-9.061305,Finance-Intern
240,-13.659094,21.80008,-14.830862,Finance-Intern
241,-13.001825,35.5409,-9.061305,Finance-Intern
242,-14.56149,19.600842,-13.402374,Finance-Intern
243,-19.242819,20.489159,-8.27649,Finance-Intern
244,-11.458874,37.733173,-7.222654,Finance-Intern
245,-9.044257,35.98548,-5.8964195,Finance-Intern
246,-15.0597725,15.234036,3.1708035,Finance-Intern
247,-19.242819,20.489159,-8.27649,Finance-Intern
248,-13.659094,21.80008,-14.830862,Finance-Intern
249,-13.659094,21.80008,-14.830862,Finance-Intern
250,19.504206,-17.959595,10.457727,Hardware Engineering
251,9.501953,-13.409024,10.910306,Hardware Engineering
252,20.100037,-17.070665,12.770684,Hardware Engineering
253,9.829072,-16.95747,9.535652,Hardware Engineering
254,7.3815846,-17.649979,14.624343,Hardware Engineering
255,2.4711423,-16.204176,12.041925,Hardware Engineering
256,9.043311,-20.397251,12.394381,Hardware Engineering
257,19.160528,-18.511879,9.213414,Hardware Engineering
258,2.655302,-13.310038,13.389689,Hardware Engineering
259,5.624976,-19.13368,12.407023,Hardware Engineering
260,9.071984,-17.728655,10.306653,Hardware Engineering
261,17.466894,-7.961455,13.788068,Hardware Engineering
262,13.161857,-15.794013,6.668553,Hardware Engineering
263,21.345406,-12.3478365,12.396416,Hardware Engineering
264,11.515835,-14.82517,12.965451,Hardware Engineering
265,8.199105,-18.56686,12.955608,Hardware Engineering
266,1.8920492,-26.559853,4.60492,Hardware Engineering
267,11.045411,-18.092035,13.663892,Hardware Engineering
268,11.543942,-9.299719,0.04532198,Hardware Engineering
269,19.883314,-17.521156,4.8980527,Hardware Engineering
270,4.2529583,-16.63371,11.1994915,Hardware Engineering
271,11.515835,-14.82517,12.965451,Hardware Engineering
272,4.4600606,-8.13445,-2.555917,IT & Data Management
273,3.3374126,-8.538678,-2.2346978,IT & Data Management
274,8.631027,-2.7272475,8.782844,IT & Data Management
